"ID_SOLICITANTE";"NOME";"DEPARTAMENTO";"EMAIL";"TELEFONE"
1;"Carlos Oliveira";"Manutenção";"carlos.oliveira@empresa.com";"(84) 99111-0001"
2;"Ana Santos";"Operações";"ana.santos@empresa.com";"(84) 99111-0002"
3;"João Mendes";"Segurança";"joao.mendes@empresa.com";"(84) 99111-0003"
4;"Juliana Braga";"Almoxarifado";"juliana.braga@empresa.com";"(84) 99111-0004"
5;"Pedro Lima";"Recursos Humanos";"pedro.lima@empresa.com";"(84) 99111-0005"
6;"Renata Pires";"Financeiro";"renata.pires@empresa.com";"(84) 99111-0006"
7;"Fábio Costa";"Logística";"fabio.costa@empresa.com";"(84) 99111-0007"
8;"Mariana Souza";"Engenharia";"mariana.souza@empresa.com";"(84) 99111-0008"
9;"Lucas Rocha";"Manutenção";"lucas.rocha@empresa.com";"(84) 99111-0009"
10;"Isabela Nunes";"Compras";"isabela.nunes@empresa.com";"(84) 99111-0010"
11;"Rodrigo Alves";"Operações";"rodrigo.alves@empresa.com";"(84) 99111-0011"
12;"Tatiane Freitas";"Segurança";"tatiane.freitas@empresa.com";"(84) 99111-0012"
13;"Felipe Cardoso";"Almoxarifado";"felipe.cardoso@empresa.com";"(84) 99111-0013"
14;"Priscila Ramos";"Manutenção";"priscila.ramos@empresa.com";"(84) 99111-0014"
15;"Bruno Fernandes";"TI";"bruno.fernandes@empresa.com";"(84) 99111-0015"
16;"Beatriz Mota";"Compras";"beatriz.mota@empresa.com";"(84) 99111-0016"
17;"Samuel Pereira";"Logística";"samuel.pereira@empresa.com";"(84) 99111-0017"
18;"Camila Guedes";"Engenharia";"camila.guedes@empresa.com";"(84) 99111-0018"
19;"Thiago Silva";"Financeiro";"thiago.silva@empresa.com";"(84) 99111-0019"
20;"Débora Martins";"Almoxarifado";"debora.martins@empresa.com";"(84) 99111-0020"
21;"Rafael Souza";"Manutenção";"rafael.souza@empresa.com";"(84) 99111-0021"
22;"Marta Alves";"Operações";"marta.alves@empresa.com";"(84) 99111-0022"
23;"Caio Dantas";"Logística";"caio.dantas@empresa.com";"(84) 99111-0023"
24;"Suelen Teixeira";"Engenharia";"suelen.teixeira@empresa.com";"(84) 99111-0024"
25;"Eduardo Queiroz";"TI";"eduardo.queiroz@empresa.com";"(84) 99111-0025"
